steps,time,reward,delta,converged
1,0.007525000000000226,-6.542619289903952,0.3246060883887825,False
2,0.00790900000000061,-6.106490405382267,0.00033030764135377755,False
3,0.007469000000000392,-6.106443081545356,1.1034750880906108e-05,False
4,0.007217999999999947,-6.106441448951339,3.6778546685933833e-07,False
5,0.012992000000000559,-6.106441406563993,1.0000000005838672e-07,False
6,0.008087999999999873,-6.106441405996277,1.0000000005838672e-07,False
7,0.00714000000000059,-6.106441406292797,1.0000000005838672e-07,False
8,0.0072579999999993206,-6.106441405996277,1.0000000005838672e-07,False
9,0.007344999999999935,-6.106441406292797,1.0000000005838672e-07,False
10,0.007120999999999711,-6.106441405996277,1.0000000005838672e-07,False
11,0.007458999999999882,-6.106441406292797,1.0000000005838672e-07,False
12,0.007206000000000046,-6.106441405996277,1.0000000005838672e-07,False
13,0.007248000000000587,-6.106441406292797,1.0000000005838672e-07,False
14,0.007106000000000279,-6.106441405996277,1.0000000005838672e-07,False
15,0.007325999999999944,-6.106441406292797,1.0000000005838672e-07,False
16,0.007146999999999792,-6.106441405996277,1.0000000005838672e-07,False
17,0.007253000000000398,-6.106441406292797,1.0000000005838672e-07,False
18,0.0072190000000000865,-6.106441405996277,1.0000000005838672e-07,False
19,0.007182000000000244,-6.106441406292797,1.0000000005838672e-07,False
20,0.007532999999999568,-6.106441405996277,1.0000000005838672e-07,False
21,0.007270999999999361,-6.106441406292797,1.0000000005838672e-07,False
22,0.007944000000000173,-6.106441405996277,1.0000000005838672e-07,False
23,0.007247999999999699,-6.106441406292797,1.0000000005838672e-07,False
24,0.007372000000000156,-6.106441405996277,1.0000000005838672e-07,False
25,0.007276999999999312,-6.106441406292797,1.0000000005838672e-07,False
26,0.007280000000000619,-6.106441405996277,1.0000000005838672e-07,False
27,0.007516999999999996,-6.106441406292797,1.0000000005838672e-07,False
28,0.0071430000000001215,-6.106441405996277,1.0000000005838672e-07,False
29,0.0072350000000005465,-6.106441406292797,1.0000000005838672e-07,False
30,0.007662999999999975,-6.106441405996277,1.0000000005838672e-07,False
31,0.007129000000000829,-6.106441406292797,1.0000000005838672e-07,False
32,0.00709399999999949,-6.106441405996277,1.0000000005838672e-07,False
33,0.007171999999999734,-6.106441406292797,1.0000000005838672e-07,False
34,0.007246000000000308,-6.106441405996277,1.0000000005838672e-07,False
35,0.00712500000000027,-6.106441406292797,1.0000000005838672e-07,False
36,0.007458999999999882,-6.106441405996277,1.0000000005838672e-07,False
37,0.007159999999999833,-6.106441406292797,1.0000000005838672e-07,False
38,0.011774999999999203,-6.106441405996277,1.0000000005838672e-07,False
39,0.008939000000000696,-6.106441406292797,1.0000000005838672e-07,False
40,0.007416000000000089,-6.106441405996277,1.0000000005838672e-07,False
41,0.0071870000000000545,-6.106441406292797,1.0000000005838672e-07,False
42,0.007328999999999475,-6.106441405996277,1.0000000005838672e-07,False
43,0.0071989999999999554,-6.106441406292797,1.0000000005838672e-07,False
44,0.008484000000000158,-6.106441405996277,1.0000000005838672e-07,False
45,0.007226000000000177,-6.106441406292797,1.0000000005838672e-07,False
46,0.007362999999999786,-6.106441405996277,1.0000000005838672e-07,False
47,0.007145000000000401,-6.106441406292797,1.0000000005838672e-07,False
48,0.0073030000000002815,-6.106441405996277,1.0000000005838672e-07,False
49,0.007130000000000081,-6.106441406292797,1.0000000005838672e-07,False
50,0.0071330000000005,-6.106441405996277,1.0000000005838672e-07,False
51,0.007371000000000016,-6.106441406292797,1.0000000005838672e-07,False
52,0.007142999999999233,-6.106441405996277,1.0000000005838672e-07,False
53,0.007509999999999906,-6.106441406292797,1.0000000005838672e-07,False
54,0.007190999999999725,-6.106441405996277,1.0000000005838672e-07,False
55,0.008309999999999818,-6.106441406292797,1.0000000005838672e-07,False
56,0.007171999999999734,-6.106441405996277,1.0000000005838672e-07,False
57,0.007309000000000232,-6.106441406292797,1.0000000005838672e-07,False
58,0.007200000000000095,-6.106441405996277,1.0000000005838672e-07,False
59,0.007355999999999696,-6.106441406292797,1.0000000005838672e-07,False
60,0.007592999999999961,-6.106441405996277,1.0000000005838672e-07,False
61,0.007456000000000351,-6.106441406292797,1.0000000005838672e-07,False
62,0.008733999999999575,-6.106441405996277,1.0000000005838672e-07,False
63,0.007479000000000013,-6.106441406292797,1.0000000005838672e-07,False
64,0.007141999999999982,-6.106441405996277,1.0000000005838672e-07,False
65,0.007158999999999693,-6.106441406292797,1.0000000005838672e-07,False
66,0.007140999999999842,-6.106441405996277,1.0000000005838672e-07,False
67,0.007298000000000471,-6.106441406292797,1.0000000005838672e-07,False
68,0.007143999999999373,-6.106441405996277,1.0000000005838672e-07,False
69,0.007673999999999737,-6.106441406292797,1.0000000005838672e-07,False
70,0.007188999999999446,-6.106441405996277,1.0000000005838672e-07,False
71,0.007213999999999388,-6.106441406292797,1.0000000005838672e-07,False
72,0.007462999999999553,-6.106441405996277,1.0000000005838672e-07,False
73,0.007604999999999862,-6.106441406292797,1.0000000005838672e-07,False
74,0.008728999999999765,-6.106441405996277,1.0000000005838672e-07,False
75,0.012412999999999563,-6.106441406292797,1.0000000005838672e-07,False
76,0.008906999999999776,-6.106441405996277,1.0000000005838672e-07,False
77,0.0074670000000001124,-6.106441406292797,1.0000000005838672e-07,False
78,0.007126999999999661,-6.106441405996277,1.0000000005838672e-07,False
79,0.007271999999999501,-6.106441406292797,1.0000000005838672e-07,False
80,0.007182000000000244,-6.106441405996277,1.0000000005838672e-07,False
81,0.007179000000000713,-6.106441406292797,1.0000000005838672e-07,False
82,0.0071390000000004505,-6.106441405996277,1.0000000005838672e-07,False
83,0.007284999999999542,-6.106441406292797,1.0000000005838672e-07,False
84,0.007120000000000459,-6.106441405996277,1.0000000005838672e-07,False
85,0.007146999999999792,-6.106441406292797,1.0000000005838672e-07,False
86,0.007672000000000345,-6.106441405996277,1.0000000005838672e-07,False
87,0.007868000000000208,-6.106441406292797,1.0000000005838672e-07,False
88,0.008167000000000257,-6.106441405996277,1.0000000005838672e-07,False
89,0.010450999999999766,-6.106441406292797,1.0000000005838672e-07,False
90,0.013043999999999834,-6.106441405996277,1.0000000005838672e-07,False
91,0.007560999999999929,-6.106441406292797,1.0000000005838672e-07,False
92,0.007200000000000095,-6.106441405996277,1.0000000005838672e-07,False
93,0.007659999999999556,-6.106441406292797,1.0000000005838672e-07,False
94,0.007189999999999586,-6.106441405996277,1.0000000005838672e-07,False
95,0.007297999999999583,-6.106441406292797,1.0000000005838672e-07,False
96,0.007337999999999845,-6.106441405996277,1.0000000005838672e-07,False
97,0.0071989999999999554,-6.106441406292797,1.0000000005838672e-07,False
98,0.007174000000000014,-6.106441405996277,1.0000000005838672e-07,False
99,0.007317000000000462,-6.106441406292797,1.0000000005838672e-07,False
100,0.007499999999999396,-6.106441405996277,1.0000000005838672e-07,False
101,0.007207999999999437,-6.106441406292797,1.0000000005838672e-07,False
102,0.00725899999999946,-6.106441405996277,1.0000000005838672e-07,False
103,0.007518999999999387,-6.106441406292797,1.0000000005838672e-07,False
104,0.007919000000000231,-6.106441405996277,1.0000000005838672e-07,False
105,0.0074710000000006715,-6.106441406292797,1.0000000005838672e-07,False
106,0.007176999999999545,-6.106441405996277,1.0000000005838672e-07,False
107,0.0073790000000002465,-6.106441406292797,1.0000000005838672e-07,False
108,0.007223999999999897,-6.106441405996277,1.0000000005838672e-07,False
109,0.007484000000000712,-6.106441406292797,1.0000000005838672e-07,False
110,0.007221000000000366,-6.106441405996277,1.0000000005838672e-07,False
111,0.00728400000000029,-6.106441406292797,1.0000000005838672e-07,False
112,0.007211999999999996,-6.106441405996277,1.0000000005838672e-07,False
113,0.0071159999999999,-6.106441406292797,1.0000000005838672e-07,False
114,0.0071750000000001535,-6.106441405996277,1.0000000005838672e-07,False
115,0.007185999999999915,-6.106441406292797,1.0000000005838672e-07,False
116,0.007318999999999853,-6.106441405996277,1.0000000005838672e-07,False
117,0.0071870000000000545,-6.106441406292797,1.0000000005838672e-07,False
118,0.007608999999999533,-6.106441405996277,1.0000000005838672e-07,False
119,0.008844999999999992,-6.106441406292797,1.0000000005838672e-07,False
120,0.008219999999999672,-6.106441405996277,1.0000000005838672e-07,False
121,0.007221000000000366,-6.106441406292797,1.0000000005838672e-07,False
122,0.007241999999999749,-6.106441405996277,1.0000000005838672e-07,False
123,0.007156000000000162,-6.106441406292797,1.0000000005838672e-07,False
124,0.007398000000000238,-6.106441405996277,1.0000000005838672e-07,False
125,0.007719999999999949,-6.106441406292797,1.0000000005838672e-07,False
126,0.007182999999999495,-6.106441405996277,1.0000000005838672e-07,False
127,0.007243000000000777,-6.106441406292797,1.0000000005838672e-07,False
128,0.007285999999999682,-6.106441405996277,1.0000000005838672e-07,False
129,0.0071750000000001535,-6.106441406292797,1.0000000005838672e-07,False
130,0.007185999999999915,-6.106441405996277,1.0000000005838672e-07,False
131,0.007189999999999586,-6.106441406292797,1.0000000005838672e-07,False
132,0.007343999999999795,-6.106441405996277,1.0000000005838672e-07,False
133,0.007157000000000302,-6.106441406292797,1.0000000005838672e-07,False
134,0.007492999999999306,-6.106441405996277,1.0000000005838672e-07,False
135,0.0072350000000005465,-6.106441406292797,1.0000000005838672e-07,False
