params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.37699,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.1}",10.229202,100,-0.09349863928072775,-0.09294610926131458,-0.1183673469387755,-0.0725,0.01019963175142934
"{""discount_factor"": 0.2}",2.2017099999999985,100,-0.0910648282424916,-0.08985636579976201,-0.1310344827586207,-0.05769230769230771,0.012080625327386069
"{""discount_factor"": 0.3}",2.0783330000000007,100,-0.0919915575899039,-0.08842105263157891,-0.13333333333333336,-0.056000000000000015,0.013363550565139973
"{""discount_factor"": 0.4}",2.0998710000000003,100,-0.08933315031645561,-0.08823495767558909,-0.12195121951219512,-0.038888888888888896,0.013130444632393828
"{""discount_factor"": 0.5}",2.179310000000001,100,-0.08803969785647751,-0.08641768292682925,-0.14500000000000002,-0.050000000000000024,0.013477229862980881
"{""discount_factor"": 0.6}",2.137288999999999,100,-0.08961728357353381,-0.08666617690273287,-0.1230769230769231,-0.05925925925925928,0.014703797302973451
"{""discount_factor"": 0.7}",2.2405989999999996,100,-0.08912153335474826,-0.08552631578947366,-0.1272727272727273,-0.05769230769230771,0.014419907938315242
"{""discount_factor"": 0.8}",2.235405,100,-0.08763829794865967,-0.08533072546230439,-0.136,-0.05769230769230771,0.014665538255333194
"{""discount_factor"": 0.9}",2.4367199999999976,100,-0.0928304577069007,-0.08860073024054982,-0.15625,-0.05925925925925928,0.019856672934150027
