episode,length,time,reward,delta
0,500.0,0.04793699999936507,-3273.0,-0.06469983720349148
1,500.0,0.04729599999882339,-3669.0,-0.34387500709283714
2,398.0,0.04005900000083784,-2971.0,100.00037412465902
3,35.0,0.0033980000007431954,65.0,10.0000374124659
4,21.0,0.0020970000005036127,79.0,1.0000037412465872
5,260.0,0.024359999999433057,-1744.0,0.10000037412466156
6,36.0,0.003485999999611522,-35.0,0.010000037412467577
7,37.0,0.003560999999535852,63.0,0.0010000037412538632
8,55.0,0.005261999998765532,-153.0,0.00010000037413249174
9,27.0,0.0026340000003983732,73.0,1.0000037420354602e-05
10,27.0,0.002694000000701635,73.0,1.0000037349300328e-06
11,73.0,0.006978999999773805,-171.0,1.000003777562597e-07
12,18.0,0.0017830000015237601,82.0,1.0000036354540498e-08
13,69.0,0.006734000000506057,-464.0,1.0000036354540498e-09
14,127.0,0.011968999999226071,-621.0,1.000017846308765e-10
15,22.0,0.0021660000002157176,78.0,1.000444171950221e-11
16,21.0,0.0020660000009229407,79.0,9.947598300641403e-13
17,41.0,0.0039329999999608845,-40.0,9.947598300641403e-14
18,35.0,0.00338000000010652,-133.0,1.4210854715202004e-14
19,82.0,0.00778100000025006,-279.0,0.0
20,230.0,0.021559000000706874,-1516.0,0.0
21,57.0,0.00542200000018056,-155.0,0.0
22,27.0,0.002624999999170541,-26.0,0.0
23,43.0,0.00412999999934982,-141.0,0.0
24,16.0,0.0016099999993457459,84.0,0.0
25,61.0,0.005805999999211053,-258.0,0.0
26,99.0,0.00928100000055565,-494.0,0.0
27,81.0,0.0077110000001994194,-278.0,0.0
28,19.0,0.0019720000000233995,81.0,0.0
29,71.0,0.006729000000632368,-466.0,0.0
30,20.0,0.0019730000003619352,80.0,0.0
31,17.0,0.001734999999825959,83.0,0.0
32,18.0,0.0017810000008466886,82.0,0.0
33,37.0,0.003547999998772866,-135.0,0.0
34,76.0,0.0072309999995923135,-471.0,0.0
35,42.0,0.004021999999167747,-140.0,0.0
36,66.0,0.0062539999998989515,-263.0,0.0
37,56.0,0.005331999998816173,-154.0,0.0
38,15.0,0.0015089999997144332,85.0,0.0
39,34.0,0.0032660000015312107,-33.0,0.0
40,18.0,0.0022129999997559935,82.0,0.0
41,37.0,0.003579999998692074,-36.0,0.0
42,84.0,0.008042999999815947,-479.0,0.0
43,31.0,0.0030150000002322486,-30.0,0.0
44,26.0,0.002549999999246211,-25.0,0.0
45,24.0,0.002388999999311636,-23.0,0.0
46,70.0,0.0066340000012132805,-366.0,0.0
47,18.0,0.0017960000004677568,82.0,0.0
48,23.0,0.002252000000225962,-220.0,0.0
49,109.0,0.010294000001522363,-603.0,0.0
50,20.0,0.001978999998755171,80.0,0.0
51,79.0,0.007504999999582651,-474.0,0.0
52,31.0,0.002996999999595573,-30.0,0.0
53,109.0,0.010377999999036547,-702.0,0.0
54,20.0,0.0019910000009986106,80.0,0.0
55,34.0,0.0032970000011118827,-33.0,0.0
56,72.0,0.006871000001410721,-269.0,0.0
57,42.0,0.0040389999994658865,-140.0,0.0
58,36.0,0.0034660000001167646,-134.0,0.0
59,36.0,0.0034730000006675255,-35.0,0.0
60,18.0,0.0017859999989013886,82.0,0.0
61,83.0,0.007840000000214786,-379.0,0.0
62,16.0,0.0016080000004876638,84.0,0.0
63,17.0,0.0016959999993559904,83.0,0.0
64,23.0,0.0022719999997207196,77.0,0.0
