episode,length,time,reward,delta
0,7.0,0.0008900000000267028,-1.7,-0.999908770116118
1,48.0,0.004611999999951877,-5.799999999999999,-0.990390278451084
2,45.0,0.0044980000000123255,-5.5,-1.0004581916845698
3,21.0,0.0020849999998517887,-3.1000000000000005,-1.0004794741329903
4,18.0,0.0019159999999374122,-2.8000000000000007,-1.000219484879487
5,48.0,0.008303999999952794,-5.799999999999999,-0.9896598214754294
6,96.0,0.014028000000052998,-10.599999999999982,-0.9900524308388272
7,10.0,0.0010770000001230073,-2.0,-1.000125745965781
8,53.0,0.005132000000003245,-6.299999999999997,-1.0002207910673167
9,42.0,0.004077000000052067,-5.200000000000001,-0.9898313532571568
10,24.0,0.0023729999998067797,-3.400000000000001,-0.8994214638961309
11,55.0,0.005278999999973166,-6.4999999999999964,-1.0000522576762683
12,21.0,0.00209099999983664,-3.1000000000000005,-1.0002245534683256
13,10.0,0.0010520000000724394,-2.0,-0.9003695897373032
14,49.0,0.005378000000064276,-5.899999999999999,-0.999642262311599
15,23.0,0.002287999999907697,-3.3000000000000007,-0.9602079768728758
16,58.0,0.005562999999938256,-6.799999999999995,-0.9445375767126475
17,15.0,0.0015379999999822758,-2.5,-0.9001975363915383
18,37.0,0.0036159999999654246,-4.700000000000002,-0.9476007106389683
19,9.0,0.0009639999998398707,-1.9,-0.9889986618256112
20,55.0,0.0053470000000288564,-6.4999999999999964,-0.9999123286212482
21,18.0,0.0018090000000938744,-2.8000000000000007,-0.9899673953931728
22,32.0,0.003131999999823165,-4.200000000000001,-0.9723535295170977
23,18.0,0.0018239999999423162,-2.8000000000000007,-0.980369639547533
24,26.0,0.0025819999998475396,-3.600000000000001,-1.0002496905147886
25,73.0,0.0070120000000315486,-8.29999999999999,-0.8900987956430502
26,39.0,0.003754999999955544,-4.900000000000002,-0.8909706558538555
27,44.0,0.004196000000092681,-5.4,-0.8010889160787451
28,19.0,0.0018809999999120919,-2.9000000000000004,-1.000353688079803
29,13.0,0.0013279999998303538,-2.3,-0.8986201833575843
30,95.0,0.008972000000085245,-10.499999999999982,-0.8087581650218258
31,32.0,0.003081999999949403,-4.200000000000001,-0.9893272436977233
32,30.0,0.002903000000060274,-4.000000000000002,-0.9690973545595784
33,123.0,0.011549000000059095,-13.299999999999972,-0.9897640197202006
34,14.0,0.001414000000067972,-2.4000000000000004,-0.9995640352145064
35,14.0,0.00141299999995681,-2.4000000000000004,-0.8825389664484866
36,125.0,0.011730999999826963,-13.499999999999972,-0.9797633028962804
37,98.0,0.009202999999843087,-10.799999999999981,-0.9004315267196912
38,40.0,0.003825999999889973,-5.000000000000002,-0.7396030407027894
39,50.0,0.004758999999921798,-5.999999999999998,-0.9002020981214931
40,40.0,0.003926999999976033,-5.000000000000002,-0.8098737884833416
41,18.0,0.001790000000028158,-2.8000000000000007,-0.8225824179925868
42,20.0,0.00196700000014971,-3.0000000000000004,-0.8638920449838989
43,24.0,0.002367000000049302,-3.400000000000001,-0.794285069803638
44,54.0,0.005126000000018394,-6.399999999999997,-0.9494824030289498
45,18.0,0.0017800000000534055,-2.8000000000000007,-0.7403241761933281
46,55.0,0.005231000000094355,-6.4999999999999964,-0.7291945094610095
47,13.0,0.0013739999999415886,-2.3,-0.9900626423637554
