params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",32.319099999999935,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",40.37917900000002,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",13.32030599999996,100,-0.09662346247568157,-0.09116451612903226,-0.13000000000000003,-0.054166666666666675,0.016711862224567494
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",15.778057999999987,100,-0.0933112746026375,-0.0922806067172264,-0.118,-0.05925925925925928,0.010318915422006662
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",14.399755999999911,100,-0.0888876516166932,-0.09009009009009007,-0.11011235955056178,-0.052173913043478286,0.008275910144476406
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",12.718166999999994,100,-0.09478019814477856,-0.09188180827886709,-0.12368421052631581,-0.04210526315789475,0.015726403030606077
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",11.284898999999996,100,-0.09197470933249628,-0.08957322551662175,-0.12903225806451615,-0.06666666666666667,0.013361994440534186
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",11.189731999999935,100,-0.08736349176425652,-0.08777173913043476,-0.12093023255813952,-0.05925925925925928,0.01070499049439145
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",10.41562799999997,100,-0.08899927888645724,-0.0882978723404255,-0.1310344827586207,-0.052173913043478286,0.012647011974895605
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",6.172574000000054,100,-0.1367327651963701,-0.13000000000000003,-0.21250000000000002,-0.10511363636363637,0.024323706440462146
