episode,length,time,reward,delta
0,8.0,0.0009829999999055872,-1.7999999999999998,-1.0
1,10.0,0.0010709999996834085,-2.0,-0.99
2,87.0,0.01336500000070373,-9.699999999999985,-1.0
3,55.0,0.005197999999836611,-6.4999999999999964,-1.0
4,43.0,0.004077000000506814,-5.300000000000001,-1.0
5,6.0,0.0006789999997636187,-1.6,-1.0
6,36.0,0.003432999999859021,-4.600000000000001,-1.0
7,18.0,0.0018100000006597838,-2.8000000000000007,-1.0
8,27.0,0.0026000000007115887,-3.700000000000001,-0.98081
9,28.0,0.002696000000469212,-3.800000000000001,-1.0
10,51.0,0.004852000000028056,-6.099999999999998,-0.980637281
11,47.0,0.004431000000295171,-5.699999999999999,-1.0
12,95.0,0.008915999999771884,-10.499999999999982,-1.0
13,54.0,0.005305000000589644,-6.399999999999997,-0.882729
14,21.0,0.002073999999993248,-3.1000000000000005,-0.99
15,54.0,0.005129000000124506,-6.399999999999997,-1.0
16,45.0,0.004262999999809836,-5.5,-0.981
17,24.0,0.002322999999705644,-3.400000000000001,-0.804664681
18,17.0,0.0016850000001795706,-2.7,-1.0
19,26.0,0.002510999999685737,-3.600000000000001,-1.0
20,73.0,0.006860999999844353,-8.29999999999999,-0.981
21,32.0,0.0030820000001767767,-4.200000000000001,-0.99
22,40.0,0.003853000000162865,-5.000000000000002,-1.0
23,22.0,0.002269999999953143,-3.2000000000000006,-0.9
24,59.0,0.0055709999996906845,-6.899999999999995,-0.9899
25,20.0,0.001952000000528642,-3.0000000000000004,-0.8829
26,29.0,0.0027890000001207227,-3.9000000000000012,-0.97223998059339
27,67.0,0.006249000000025262,-7.699999999999992,-0.9899
28,115.0,0.010665999999218911,-12.499999999999975,-1.0
29,5.0,0.0005719999999200809,-1.5,-0.8825735529
30,24.0,0.002322999999705644,-3.400000000000001,-0.98091
31,29.0,0.0027609999997366685,-3.9000000000000012,-0.9
32,54.0,0.0050890000002254965,-6.399999999999997,-1.0
33,42.0,0.003983000000516768,-5.200000000000001,-0.7943161976099999
34,8.0,0.0008509999997841078,-1.7999999999999998,-0.9585431110927641
35,16.0,0.001615999999557971,-2.6000000000000005,-0.7241982129
36,37.0,0.0034989999994650134,-4.700000000000002,-0.980649652890641
37,33.0,0.0031520000002274173,-4.300000000000002,-0.99
38,31.0,0.002952000000732369,-4.100000000000001,-0.9
39,102.0,0.00951699999950506,-11.19999999999998,-0.99
40,92.0,0.008555999999771302,-10.199999999999983,-0.8977460119176648
41,43.0,0.004057000000102562,-5.300000000000001,-1.0
42,64.0,0.006016999999701511,-7.399999999999993,-0.8079714107258984
43,36.0,0.003592000000026019,-4.600000000000001,-1.0
44,19.0,0.0018689999997150153,-2.9000000000000004,-0.981
45,35.0,0.003343000000313623,-4.500000000000002,-0.891
46,97.0,0.009108000000196625,-10.699999999999982,-0.8660053757085008
47,37.0,0.003508999999212392,-4.700000000000002,-0.9726239245680363
48,14.0,0.001396999999997206,-2.4000000000000004,-0.7794048381376507
49,61.0,0.005732000000534754,-7.099999999999994,-0.9182080974506612
50,212.0,0.019642000000203552,-22.20000000000003,-0.99
51,125.0,0.011618000000453321,-13.499999999999972,-1.0
52,64.0,0.005987999999888416,-7.399999999999993,-0.981
