steps,time,reward,delta,converged
1,0.003531000000293716,-0.12500000000000006,0,False
2,0.003031999998711399,-0.12812500000000004,0,False
3,0.0040870000011636876,-0.12093023255813956,0.0476,False
4,0.00696099999913713,-0.11199999999999986,0.053450000000000025,False
5,0.0054870000003575115,-0.11525423728813551,0.08023760000000002,False
6,0.0035559999996621627,-0.12368421052631584,0.08023760000000002,False
7,0.00427299999864772,-0.11956521739130435,0.08023760000000002,False
8,0.003447000000960543,-0.12432432432432436,0.08023760000000002,False
9,0.005387999999584281,-0.11551724137931027,0.08023760000000002,False
10,0.00207100000079663,-0.14090909090909093,0.08023760000000002,False
11,0.004845000001296285,-0.11730769230769227,0.08023760000000002,False
12,0.0006200000007083872,-0.25,0.08023760000000002,False
13,0.0036510000009002397,-0.12307692307692314,0.08023760000000002,False
14,0.004562000000078115,-0.13913043478260873,0.08023760000000002,False
15,0.009219999999913853,-0.10989010989010971,0.08023760000000002,False
16,0.0019790000005741604,-0.14285714285714288,0.11441691839195944,False
17,0.004944000000250526,-0.11698113207547164,0.11441691839195944,False
18,0.0010569999994913815,-0.18181818181818182,0.11441691839195944,False
19,0.0021629999992001103,-0.13913043478260873,0.11441691839195944,False
20,0.002630999999382766,-0.13214285714285717,0.11441691839195944,False
21,0.005113999999593943,-0.11636363636363631,0.68344369928,False
22,0.003733999999894877,-0.12250000000000005,0.8,False
23,0.004290000000764849,-0.11956521739130435,0.8,False
24,0.005590000000665896,-0.11499999999999992,0.8,False
25,0.0023509999991802033,-0.13600000000000004,0.8,False
26,0.0016020000002754387,-0.15294117647058827,0.8,False
27,0.006983999999647494,-0.11199999999999986,0.8,False
28,0.0072000000000116415,-0.11153846153846139,0.8,False
29,0.005933000000368338,-0.1140624999999999,0.8,False
30,0.0009699999991426012,-0.19,0.8,False
31,0.0027360000003682217,-0.13103448275862073,0.8,False
32,0.009298999999373336,-0.1089999999999998,0.8,False
33,0.0034399999985907925,-0.12432432432432436,0.8,False
34,0.003359999998792773,-0.12500000000000006,0.8,False
35,0.009800000001632725,-0.10849056603773564,0.8,False
36,0.0057239999987359624,-0.11451612903225797,0.8,False
37,0.0017829999997047707,-0.14736842105263162,0.8,False
38,0.0036020000006828923,-0.12307692307692314,0.8,False
39,0.009307000000262633,-0.10891089108910872,0.8,False
40,0.010996999999406398,-0.10749999999999978,0.8,False
41,0.0032499999997526174,-0.12571428571428578,0.8,False
42,0.0027060000011260854,-0.13103448275862073,0.8,False
43,0.001965000001291628,-0.14285714285714288,0.8,False
44,0.003531000000293716,-0.12368421052631584,0.8,False
45,0.005762000000686385,-0.11451612903225797,0.8,False
46,0.01069900000038615,-0.10782608695652153,0.8,False
47,0.009496999999100808,-0.1090909090909089,0.8,False
48,0.0027099999988422496,-0.13103448275862073,0.8,False
49,0.0029139999987819465,-0.12903225806451618,0.8,False
50,0.017952000000150292,-0.10461538461538464,0.8,False
51,0.0038920000006328337,-0.12142857142857147,0.8,False
52,0.0033360000015818514,-0.12500000000000006,0.8,False
53,0.0026980000002367888,-0.13103448275862073,0.8,False
54,0.00614799999857496,-0.11384615384615374,0.8,False
55,0.006188999999722,-0.11343283582089542,0.8,False
56,0.0032659999997122213,-0.12571428571428578,0.8,False
57,0.002726000000620843,-0.13103448275862073,0.8,False
58,0.004176999998890096,-0.12000000000000001,0.8,False
59,0.001306000000113272,-0.16923076923076924,0.8,False
60,0.005392000000938424,-0.11551724137931027,0.8,False
61,0.008042000001296401,-0.1104651162790696,0.8,False
62,0.009078999999474036,-0.10918367346938757,0.8,False
63,0.003920999999536434,-0.12142857142857147,0.8,False
64,0.009529999999358552,-0.10873786407766971,0.8,False
65,0.009541999999783002,-0.10873786407766971,0.8,False
66,0.009867999999187305,-0.11578947368421046,0.8,False
67,0.0030070000011619413,-0.12812500000000004,0.8,False
68,0.005534999998417334,-0.11525423728813551,0.8,False
69,0.0086860000010347,-0.10957446808510621,0.8,False
70,0.006416000000172062,-0.11304347826086944,0.8,False
71,0.0073089999987132614,-0.111392405063291,0.8,False
72,0.00831099999959406,-0.10999999999999982,0.8,False
73,0.005766999998741085,-0.11451612903225797,0.8,False
74,0.00796000000082131,-0.1104651162790696,0.8,False
75,0.004001999999672989,-0.12093023255813956,0.8,False
76,0.001908000000184984,-0.14500000000000002,0.8,False
77,0.0021539999997912673,-0.13913043478260873,0.8,False
78,0.005583000000115135,-0.11499999999999992,0.8,False
79,0.0010569999994913815,-0.18181818181818182,0.8,False
80,0.005788999998912914,-0.11451612903225797,0.8,False
81,0.01008200000069337,-0.10825688073394475,0.8,False
82,0.005538999999771477,-0.11499999999999992,0.8,False
83,0.0007810000006429618,-0.2125,0.8,False
84,0.0032400000000052387,-0.12647058823529417,0.8,False
85,0.0017979999993258389,-0.14736842105263162,0.8,False
86,0.0053609999995387625,-0.11551724137931027,0.8,False
87,0.004922999998598243,-0.11698113207547164,0.8,False
88,0.0024510000002919696,-0.13461538461538464,0.8,False
89,0.0043530000002647284,-0.11914893617021276,0.8,False
90,0.005456999999296386,-0.11525423728813551,0.8,False
91,0.016859999999724096,-0.10624999999999976,0.8,False
92,0.005875999999261694,-0.1140624999999999,0.8,False
93,0.0014109999992797384,-0.16000000000000003,0.8,False
94,0.004344999999375432,-0.11914893617021276,0.8,False
95,0.010170999999900232,-0.1081081081081079,0.8,False
96,0.006579000000783708,-0.11249999999999988,0.8,False
97,0.00567600000067614,-0.11451612903225797,0.8,False
98,0.0036760000002686866,-0.12250000000000005,0.8,False
99,0.007416000000375789,-0.11111111111111095,0.8,False
100,0.001861000000644708,-0.14500000000000002,0.8,False
101,0.008574000001317472,-0.10957446808510621,0.8,False
102,0.006966000000829808,-0.11184210526315776,0.8,False
103,0.0025040000000444707,-0.13333333333333336,0.8,False
104,0.005012000001443084,-0.11666666666666661,0.8,False
105,0.001239999999597785,-0.16923076923076924,0.8,False
106,0.011862000001201523,-0.11168831168831155,0.8,False
107,0.0006979999998293351,-0.2285714285714286,0.8,False
108,0.003172999999151216,-0.12647058823529417,0.8,False
109,0.0020700000004580943,-0.14090909090909093,0.8,False
110,0.02874100000008184,-0.10290322580645216,0.8,False
111,0.006677999999737949,-0.11249999999999988,0.8099000000000001,False
112,0.023561999998491956,-0.10357142857142891,0.8099000000000001,False
113,0.01656399999956193,-0.10559006211180098,0.8099000000000001,False
114,0.002833999998983927,-0.13000000000000003,0.8099000000000001,False
115,0.004748999999719672,-0.11764705882352938,0.8099000000000001,False
116,0.0028149999998277053,-0.13000000000000003,0.8099000000000001,False
117,0.010088999999425141,-0.11232876712328754,0.8099000000000001,False
118,0.00451700000121491,-0.13461538461538464,0.8099000000000001,False
119,0.0009570000001986045,-0.19999999999999998,0.8099000000000001,False
120,0.012682000000495464,-0.10833333333333313,0.8099000000000001,False
121,0.02307000000109838,-0.10517241379310331,0.8099000000000001,False
122,0.002979000000777887,-0.12903225806451618,0.8099000000000001,False
123,0.0041639999999461,-0.12045454545454547,0.8099000000000001,False
124,0.014053000000785687,-0.1060402684563756,0.8099000000000001,False
125,0.00578499999937776,-0.11451612903225797,0.8099000000000001,False
126,0.0051419999999779975,-0.11636363636363631,0.8099000000000001,False
127,0.0065300000005663605,-0.11914893617021276,0.8099000000000001,False
128,0.0022439999993366655,-0.16923076923076924,0.8099000000000001,False
129,0.004042000000481494,-0.12093023255813956,0.8099000000000001,False
130,0.008071000000200002,-0.11034482758620673,0.8099000000000001,False
131,0.002339999999094289,-0.13600000000000004,0.8099000000000001,False
