params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",39.64745000000039,100,-0.10111494072043514,-0.10000000000000002,-0.11139240506329111,-0.10000000000000002,0.0018009401938098445
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",42.648339999999735,100,-0.10024521039465811,-0.10000000000000002,-0.10330882352941176,-0.10000000000000002,0.0006960121719775089
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",36.44977899999958,100,-0.10146188306283299,-0.10119443074538537,-0.10865384615384616,-0.10000000000000002,0.0015904745007121798
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",34.28965599999992,100,-0.10157577297933437,-0.10138811592962026,-0.10909090909090909,-0.10000000000000002,0.0015133408177552565
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",31.819280000000617,100,-0.10228221871058306,-0.10199778270509978,-0.10714285714285714,-0.10000000000000002,0.0014811389755117579
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",30.25902599999972,100,-0.1029990717588945,-0.10279505801336766,-0.1080357142857143,-0.10000000000000002,0.0014276722580854895
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",26.547324999999546,100,-0.10464343087230352,-0.10397352929710343,-0.11363636363636362,-0.10114213197969543,0.002721275350161211
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",22.63193500000034,100,-0.10540441331868855,-0.1044127190136275,-0.1176470588235294,-0.10095541401273886,0.0037363149826814047
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",18.59180600000036,100,-0.10683380442567987,-0.10577017918790069,-0.125,-0.10101694915254238,0.004460541978311853
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",12.69308700000056,100,-0.13905962714047562,-0.12432432432432435,-0.27999999999999997,-0.10697674418604651,0.03745528411537891
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",36.836245999999846,100,-0.1011472415941973,-0.10000000000000002,-0.11428571428571424,-0.10000000000000002,0.002295675861775171
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",40.20922400000018,100,-0.10043778298491449,-0.10000000000000002,-0.10505617977528088,-0.10000000000000002,0.000912437066656352
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",34.18421800000033,100,-0.10095154213757591,-0.10000000000000002,-0.10576923076923077,-0.10000000000000002,0.0012088806766721843
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",30.499808000000485,100,-0.10140493055367296,-0.10132257479366147,-0.10825688073394495,-0.10000000000000002,0.0012891186300237132
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",30.12189799999942,100,-0.10216498306272839,-0.10164989716497962,-0.11184210526315787,-0.10000000000000002,0.0022077549261306094
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",27.597127,100,-0.10312963844439238,-0.10304057524396507,-0.11124999999999999,-0.10000000000000002,0.0019955382550300507
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",26.258182000000488,100,-0.10359026221635848,-0.10306644842237235,-0.11184210526315787,-0.10000000000000002,0.002249617609573087
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",21.87728700000025,100,-0.10604877526777745,-0.10523538961038961,-0.1183673469387755,-0.1009433962264151,0.004033620320187402
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",18.059666999999536,100,-0.10908674236961964,-0.10762931034482759,-0.14090909090909093,-0.10145867098865478,0.006158238434570106
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",12.92960099999982,100,-0.11880127817364666,-0.11428571428571424,-0.16000000000000003,-0.10376569037656905,0.013086832448644978
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",36.36362099999951,100,-0.10149639237164283,-0.10108696286356078,-0.1115384615384615,-0.10000000000000002,0.001912026334858611
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",38.77676200000042,100,-0.10019745977796754,-0.10000000000000002,-0.10841121495327102,-0.10000000000000002,0.0009215374250258616
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",32.19575700000041,100,-0.10105029018347304,-0.10099447999501845,-0.10461538461538461,-0.10000000000000002,0.0011838833093634807
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",30.120089000000007,100,-0.10126613280419645,-0.10117417279411764,-0.10573248407643311,-0.10000000000000002,0.0012234979420965865
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",28.663994999999886,100,-0.10330380222221754,-0.10301003344481605,-0.11249999999999999,-0.10000000000000002,0.002085905594862116
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",25.63318900000013,100,-0.10378201183447772,-0.10333333333333333,-0.11184210526315787,-0.10000000000000002,0.002175234040308952
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",24.910792000000583,100,-0.10366145761583763,-0.10291265186426476,-0.11232876712328767,-0.10000000000000002,0.002522286775296588
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",21.117777999999817,100,-0.10468012883892737,-0.10399130742605414,-0.12195121951219512,-0.1010688836104513,0.0030988306453283653
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",18.113632999999936,100,-0.10920829480447908,-0.10818181818181817,-0.1272727272727273,-0.10120967741935484,0.004935556677693566
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",13.10625600000003,100,-0.11973641530819419,-0.1148851831601968,-0.1642857142857143,-0.10436893203883495,0.013332890800387994
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",40.01213999999982,100,-0.10136324201700386,-0.10000000000000002,-0.11216216216216215,-0.10000000000000002,0.0023721245602758437
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",41.41954599999917,100,-0.10025773330540205,-0.10000000000000002,-0.10430622009569378,-0.10000000000000002,0.0007559281496385658
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",35.81030800000008,100,-0.10121330263451772,-0.10116302560292509,-0.10481283422459892,-0.10000000000000002,0.0012220725054596956
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",34.31535799999983,100,-0.10174696499604183,-0.10154909465800824,-0.10532544378698223,-0.10000000000000002,0.0011230184495814605
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",30.984003000000484,100,-0.10236617480398086,-0.10215315934065936,-0.10671641791044774,-0.10000000000000002,0.0014508372319956
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",30.28311500000018,100,-0.10301248133117616,-0.1025623268698061,-0.1115384615384615,-0.10096153846153848,0.0017660828242220534
