step,reward,mean,median,std,max,min
0,-0.07755102040816327,-0.07755102040816327,-0.07755102040816327,0.0,-0.07755102040816327,-0.07755102040816327
1,-0.08450704225352108,-0.08102903133084217,-0.08102903133084217,0.003478010922678909,-0.07755102040816327,-0.08450704225352108
2,-0.09417989417989417,-0.08541265228052618,-0.08450704225352108,0.006818844372755993,-0.07755102040816327,-0.09417989417989417
3,-0.1183673469387755,-0.0936513259450885,-0.08934346821670763,0.015443435828479308,-0.07755102040816327,-0.1183673469387755
4,-0.0912,-0.09316106075607081,-0.0912,0.013847787114659761,-0.07755102040816327,-0.1183673469387755
5,-0.08817204301075267,-0.09232955779851777,-0.08968602150537633,0.012777245105507337,-0.07755102040816327,-0.1183673469387755
6,-0.08166666666666664,-0.09080628763682476,-0.08817204301075267,0.012403932200881453,-0.07755102040816327,-0.1183673469387755
7,-0.07499999999999997,-0.08883050168222167,-0.08633954263213688,0.012726014822300187,-0.07499999999999997,-0.1183673469387755
8,-0.0825396825396825,-0.0881315217774951,-0.08450704225352108,0.012159993034439093,-0.07499999999999997,-0.1183673469387755
9,-0.08990825688073394,-0.08830919528781897,-0.08633954263213688,0.011548289848470372,-0.07499999999999997,-0.1183673469387755
10,-0.08103448275862067,-0.08764785778516458,-0.08450704225352108,0.01120770995345584,-0.07499999999999997,-0.1183673469387755
11,-0.07441860465116278,-0.08654542002399777,-0.0835233623966018,0.011336405576303213,-0.07441860465116278,-0.1183673469387755
12,-0.08405797101449272,-0.08635407779249737,-0.08405797101449272,0.010911816267119748,-0.07441860465116278,-0.1183673469387755
13,-0.07317073170731707,-0.0854124102149845,-0.08329882677708761,0.011049456449611387,-0.07317073170731707,-0.1183673469387755
14,-0.09090909090909093,-0.08577885559459159,-0.08405797101449272,0.010762484518162935,-0.07317073170731707,-0.1183673469387755
15,-0.1107142857142857,-0.08733731997707248,-0.08428250663400691,0.012042582755077441,-0.07317073170731707,-0.1183673469387755
16,-0.07884615384615382,-0.0868378396164302,-0.08405797101449272,0.011852623244387548,-0.07317073170731707,-0.1183673469387755
17,-0.11525423728813558,-0.08841652837596939,-0.08428250663400691,0.013230584372735514,-0.07317073170731707,-0.1183673469387755
18,-0.09513274336283185,-0.08877001337527794,-0.08450704225352108,0.012964737587806736,-0.07317073170731707,-0.1183673469387755
19,-0.0807017543859649,-0.08836660042581229,-0.08428250663400691,0.012758224713211055,-0.07317073170731707,-0.1183673469387755
20,-0.06764705882352942,-0.08737995558760835,-0.08405797101449272,0.013209488891184161,-0.06764705882352942,-0.1183673469387755
21,-0.07441860465116278,-0.08679080327231536,-0.08329882677708761,0.013185155117294945,-0.06764705882352942,-0.1183673469387755
22,-0.08865979381443298,-0.0868720637306683,-0.08405797101449272,0.012900967592453398,-0.06764705882352942,-0.1183673469387755
23,-0.06857142857142857,-0.08610953726569998,-0.08329882677708761,0.013148134721149939,-0.06764705882352942,-0.1183673469387755
24,-0.08624999999999998,-0.08611515577507198,-0.08405797101449272,0.012882517859612294,-0.06764705882352942,-0.1183673469387755
25,-0.08307692307692306,-0.08599830067129702,-0.0835674470457079,0.01264585290035313,-0.06764705882352942,-0.1183673469387755
26,-0.11451612903225802,-0.0870545165365178,-0.08405797101449272,0.013527753415465653,-0.06764705882352942,-0.1183673469387755
27,-0.08571428571428569,-0.08700665115000951,-0.08428250663400691,0.01328631829131932,-0.06764705882352942,-0.1183673469387755
28,-0.08405797101449272,-0.08690497252464686,-0.08405797101449272,0.013066316265127428,-0.06764705882352942,-0.1183673469387755
29,-0.09009009009009007,-0.08701114311016164,-0.08428250663400691,0.012859415240176504,-0.06764705882352942,-0.1183673469387755
30,-0.08817204301075267,-0.08704859149405168,-0.08450704225352108,0.012651967874900024,-0.06764705882352942,-0.1183673469387755
