params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.2761580000000095,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.1}",2.294977000000017,100,-0.09352966290883093,-0.09269030377958318,-0.12432432432432435,-0.056000000000000015,0.010999735771157954
"{""discount_factor"": 0.2}",2.103962000000024,100,-0.09296882192863914,-0.09112845528455285,-0.12903225806451615,-0.050000000000000024,0.013815003941661838
"{""discount_factor"": 0.3}",2.090202999999974,100,-0.09051410605941773,-0.08894444444444444,-0.12250000000000001,-0.062068965517241406,0.013842174127045815
"{""discount_factor"": 0.4}",2.2033740000000535,100,-0.09096714801135013,-0.08899889988998899,-0.12093023255813952,-0.06764705882352942,0.011696081303335524
"{""discount_factor"": 0.5}",2.061929999999961,100,-0.08795184180235141,-0.08607371794871793,-0.12571428571428572,-0.050000000000000024,0.01471695210109001
"{""discount_factor"": 0.6}",2.059851999999978,100,-0.0909754157146811,-0.08804206546142028,-0.128125,-0.050000000000000024,0.015216513871232261
"{""discount_factor"": 0.7}",2.2039930000000822,100,-0.08974476458209864,-0.08598669263226222,-0.125,-0.056000000000000015,0.014997858111223382
"{""discount_factor"": 0.8}",2.1334009999999353,100,-0.09063299038823647,-0.08899889988998899,-0.136,-0.06333333333333337,0.014679862887209532
"{""discount_factor"": 0.9}",2.254733999999985,100,-0.09174156359081957,-0.08697814513869428,-0.16923076923076924,-0.050000000000000024,0.020753585315525763
