steps,time,reward,delta,converged
1,0.008014000000002852,-40.46494072949108,1.0,False
2,0.011847000000102526,-47.99780255865178,0.30000000000000004,False
3,0.007890000000088548,-49.4101619846988,0.09000000000000008,False
4,0.007979000000091219,-49.66514065480724,0.026999999999999913,False
5,0.007779000000027736,-49.706910981937924,0.008099999999999996,False
6,0.007795999999984815,-49.71235627779942,0.002429999999999932,False
7,0.007773999999926673,-49.71252446481479,0.0007289999999999797,False
8,0.007819000000040432,-49.712272098053596,0.0002187000000000161,False
9,0.007749999999987267,-49.71213419915142,6.561000000004924e-05,False
10,0.007764000000065607,-49.7120800410659,1.9682999999881545e-05,False
11,0.007737000000020089,-49.712061160452414,5.904900000075486e-06,True
