step,reward,mean,median,std,max,min
0,-0.09378531073446326,-0.09378531073446326,-0.09378531073446326,0.0,-0.09378531073446326,-0.09378531073446326
1,-0.07555555555555553,-0.0846704331450094,-0.0846704331450094,0.009114877589453868,-0.07555555555555553,-0.09378531073446326
2,-0.08921568627450978,-0.08618551752150953,-0.08921568627450978,0.007744565211573541,-0.07555555555555553,-0.09378531073446326
3,-0.08428571428571426,-0.0857105667125607,-0.08675070028011202,0.006757251848939756,-0.07555555555555553,-0.09378531073446326
4,-0.1108433734939759,-0.09073712806884374,-0.08921568627450978,0.011730031471139015,-0.07555555555555553,-0.1108433734939759
5,-0.0912,-0.09081427339070312,-0.09020784313725488,0.010709394112881318,-0.07555555555555553,-0.1108433734939759
6,-0.07441860465116278,-0.08847203499934021,-0.08921568627450978,0.01145526779778645,-0.07441860465116278,-0.1108433734939759
7,-0.08405797101449272,-0.08792027700123428,-0.08675070028011202,0.010814403520233787,-0.07441860465116278,-0.1108433734939759
8,-0.08225806451612899,-0.08729114228066703,-0.08428571428571426,0.01035003458794238,-0.07441860465116278,-0.1108433734939759
9,-0.09083333333333335,-0.08764536138593366,-0.08675070028011202,0.00987624093191667,-0.07441860465116278,-0.1108433734939759
10,-0.08358208955223878,-0.08727597303741595,-0.08428571428571426,0.009488800106991848,-0.07441860465116278,-0.1108433734939759
11,-0.07499999999999997,-0.08625297528429794,-0.0841718426501035,0.009697730934586727,-0.07441860465116278,-0.1108433734939759
12,-0.08166666666666664,-0.08590018231371091,-0.08405797101449272,0.00939708642510089,-0.07441860465116278,-0.1108433734939759
13,-0.0807017543859649,-0.08552886603315764,-0.08382003028336575,0.009153693339879324,-0.07441860465116278,-0.1108433734939759
14,-0.09098360655737706,-0.08589251540143893,-0.08405797101449272,0.008947372075600396,-0.07441860465116278,-0.1108433734939759
15,-0.09140625000000002,-0.08623712381384899,-0.0841718426501035,0.008765462037827123,-0.07441860465116278,-0.1108433734939759
16,-0.07843137254901959,-0.08577796197474137,-0.08405797101449272,0.00869982706213319,-0.07441860465116278,-0.1108433734939759
