steps,time,reward,delta,converged
1,0.0008500000000140062,53.39999999999998,100.4,False
2,0.0007890000000543296,238.35999999999999,40.0,False
3,0.0007930000000442305,367.28799999999995,16.0,False
4,0.0007889999999406427,440.8367999999999,6.400000000000006,False
5,0.0007840000000669534,478.0131200000002,2.5600000000000023,False
6,0.0007829999999557913,495.9863680000002,1.024000000000001,False
7,0.0009160000000747459,503.8426598399999,0.4096000000000011,False
8,0.0010550000000648652,507.2823823359999,0.16384000000000043,False
9,0.0012389999999413703,508.7678475264,0.0655360000000087,False
10,0.0007909999999355932,509.4054970777601,0.026214400000014848,False
11,0.0007820000000720029,509.67794228838414,0.010485760000008781,False
12,0.0007849999999507418,509.79405370933256,0.004194304000009197,False
13,0.0007830000000694781,509.8405856534529,0.0016777216000036788,False
14,0.0007820000000720029,509.859198431101,0.0006710886400043137,False
15,0.001007999999956155,509.86664354216026,0.0002684354560074098,False
16,0.0007870000000593791,509.8696215865839,0.0001073741824058061,False
17,0.0007809999999608408,509.8708128043534,4.294967296303298e-05,False
18,0.0007790000000795771,509.8712892914612,1.717986918947645e-05,False
19,0.0007769999999709398,509.87147988630426,6.8719476757905795e-06,True
