steps,time,reward,delta,converged
1,0.008572999999955755,-47.57874518198376,1.0,False
2,0.00781599999993432,-73.2541361904778,0.7,False
3,0.007720999999946798,-87.50597943850848,0.49,False
4,0.007731999999919026,-95.43027612738602,0.34299999999999997,False
5,0.007720999999946798,-99.78195966553416,0.24009999999999998,False
6,0.007758999999964544,-102.1300231835339,0.16806999999999972,False
7,0.0077179999999543725,-103.3665424883925,0.11764900000000011,False
8,0.0077289999999266,-103.99275460109386,0.08235429999999999,False
9,0.007708999999977095,-104.29106830868753,0.05764800999999986,False
10,0.00802299999998013,-104.41798059947838,0.040353607000000125,False
11,0.007870000000025357,-104.45904003071115,0.02824752489999982,False
12,0.007683000000042739,-104.4599219311227,0.019773267430000185,False
13,0.008317000000033659,-104.44441635682377,0.013841287201000085,False
14,0.007775999999921623,-104.42424798810524,0.009688901040699971,False
15,0.007753999999977168,-104.40475404882595,0.006782230728489935,False
16,0.0077730000000428845,-104.38798129310568,0.0047475615099430435,False
17,0.007744000000002416,-104.37441041069178,0.003323293056959997,False
18,0.007757999999967069,-104.36383370936123,0.002326305139872087,False
19,0.007725999999934174,-104.35579841779781,0.0016284135979103276,False
20,0.007768999999939297,-104.34980239603914,0.0011398895185372737,False
21,0.00872500000002674,-104.3453866257177,0.0007979226629761804,False
22,0.007837999999992462,-104.34216669545981,0.0005585458640831042,False
23,0.007730999999921551,-104.33983664515573,0.0003909821048582174,False
24,0.010801000000014938,-104.33816072416285,0.000273687473400841,False
25,0.009260999999924024,-104.33696100639607,0.00019158123138041105,False
26,0.007867000000032931,-104.3361054658464,0.00013410686196646537,False
27,0.00798999999994976,-104.33549724211042,9.387480337652576e-05,False
28,0.014619000000038795,-104.33506592235496,6.571236236352362e-05,False
29,0.0077730000000428845,-104.33476068919174,4.5998653654510946e-05,False
30,0.007724000000052911,-104.33454504130944,3.2199057558024435e-05,False
31,0.0094330000000582,-104.33439290372435,2.2539340290617105e-05,False
32,0.0077289999999266,-104.33428569542156,1.5777538203476382e-05,False
33,0.007669999999961874,-104.33421022230183,1.1044276742477876e-05,False
34,0.0076729999999543,-104.33415713572369,7.73099371986774e-06,True
